Name,ID,Sub-Tec,Tactic,Platforms,Data Sources,Permissions Required
Drive-by Compromise,T1189,No sub-techniques,InitialAccess,"Linux, SaaS, Windows, macOS","Network device logs, Network intrusion detection system, Packet capture, Process use of network, SSL/TLS inspection, Web proxy",User
Exploit Public-Facing Application,T1190,No sub-techniques,InitialAccess,"AWS, Azure, GCP, Linux, Network, Windows, macOS","AWS CloudTrail logs, Application logs, Azure activity logs, Packet capture, Stackdriver logs, Web application firewall logs, Web logs",[]
External Remote Services,T1133,No sub-techniques,"Persistence,InitialAccess","Linux, Windows",Authentication logs,User
Hardware Additions,T1200,No sub-techniques,InitialAccess,"Linux, Windows, macOS","Asset management, Data loss prevention",[]
Phishing,T1566,3 sub-techniques,InitialAccess,"Linux, Office 365, SaaS, Windows, macOS","Anti-virus, Detonation chamber, Email gateway, File monitoring, Mail server, Network intrusion detection system, Packet capture, SSL/TLS inspection, Web proxy",[]
Replication Through Removable Media,T1091,No sub-techniques,"LateralMovement,InitialAccess",Windows,"Data loss prevention, File monitoring",User
Supply Chain Compromise,T1195,3 sub-techniques,InitialAccess,"Linux, Windows, macOS","File monitoring, Web proxy",[]
Trusted Relationship,T1199,No sub-techniques,InitialAccess,"AWS, Azure, GCP, Linux, SaaS, Windows, macOS","AWS CloudTrail logs, Application logs, Authentication logs, Azure activity logs, Stackdriver logs, Third-party application logs",[]
Valid Accounts,T1078,4 sub-techniques,"DefenseEvasion,Persistence,PrivilegeEscalation,InitialAccess","AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","AWS CloudTrail logs, Authentication logs, Process monitoring, Stackdriver logs","Administrator, User"
Command and Scripting Interpreter,T1059,8 sub-techniques,Execution,"Linux, Network, Windows, macOS","PowerShell logs, Process command-line parameters, Process monitoring, Windows event logs",User
Exploitation for Client Execution,T1203,No sub-techniques,Execution,"Linux, Windows, macOS","Anti-virus, Process monitoring, System calls",[]
Inter-Process Communication,T1559,2 sub-techniques,Execution,Windows,"DLL monitoring, File monitoring, Process monitoring","Administrator, SYSTEM, User"
Native API,T1106,No sub-techniques,Execution,"Linux, Windows, macOS","API monitoring, Loaded DLLs, Process monitoring, System calls",User
Scheduled Task/Job,T1053,6 sub-techniques,"Execution,Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User"
Shared Modules,T1129,No sub-techniques,Execution,Windows,"API monitoring, DLL monitoring, File monitoring, Process monitoring",User
Software Deployment Tools,T1072,No sub-techniques,"Execution,LateralMovement","Linux, Windows, macOS","Authentication logs, Binary file metadata, File monitoring, Process monitoring, Process use of network, Third-party application logs, Windows Registry","Administrator, SYSTEM, User"
System Services,T1569,2 sub-techniques,Execution,"Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows Registry","Administrator, SYSTEM, User, root"
User Execution,T1204,2 sub-techniques,Execution,"Linux, Windows, macOS","Anti-virus, Process command-line parameters, Process monitoring",User
Windows Management Instrumentation,T1047,No sub-techniques,Execution,Windows,"Authentication logs, Netflow/Enclave netflow, Process command-line parameters, Process monitoring","Administrator, User"
Account Manipulation,T1098,4 sub-techniques,Persistence,"AWS, Azure, Azure AD, GCP, Linux, Office 365, Windows, macOS","Authentication logs, Windows event logs",[]
BITS Jobs,T1197,No sub-techniques,"DefenseEvasion,Persistence",Windows,"Packet capture, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User"
Boot or Logon Autostart Execution,T1547,12 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS",[],"Administrator, User, root"
Boot or Logon Initialization Scripts,T1037,5 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process monitoring",[]
Browser Extensions,T1176,No sub-techniques,Persistence,"Linux, Windows, macOS","Browser extensions, File monitoring, Process monitoring, Process use of network, Windows Registry",User
Compromise Client Software Binary,T1554,No sub-techniques,Persistence,"Linux, Windows, macOS","Binary file metadata, Process monitoring",[]
Create Account,T1136,3 sub-techniques,Persistence,"AWS, Azure, Azure AD, GCP, Linux, Office 365, Windows, macOS","AWS CloudTrail logs, Authentication logs, Azure activity logs, Office 365 account logs, Process command-line parameters, Process monitoring, Windows event logs",Administrator
Create or Modify System Process,T1543,4 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows Registry, Windows event logs",[]
Event Triggered Execution,T1546,15 sub-techniques,"PrivilegeEscalation,Persistence","Linux, Windows, macOS","API monitoring, Binary file metadata, DLL monitoring, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring, Process use of network, System calls, WMI Objects, Windows Registry, Windows event logs",[]
External Remote Services,T1133,No sub-techniques,"Persistence,InitialAccess","Linux, Windows",Authentication logs,User
Hijack Execution Flow,T1574,11 sub-techniques,"Persistence,PrivilegeEscalation,DefenseEvasion","Linux, Windows, macOS","DLL monitoring, Environment variable, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring",[]
Implant Container Image,T1525,No sub-techniques,Persistence,"AWS, Azure, GCP","Asset management, File monitoring",User
Office Application Startup,T1137,6 sub-techniques,Persistence,"Office 365, Windows","File monitoring, Mail server, Process command-line parameters, Process monitoring, Windows Registry","Administrator, User"
Pre-OS Boot,T1542,5 sub-techniques,"DefenseEvasion,Persistence","Linux, Network, Windows","API monitoring, BIOS, Component firmware, Disk forensics, EFI, MBR, Process monitoring, VBR","Administrator, SYSTEM"
Scheduled Task/Job,T1053,6 sub-techniques,"Execution,Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User"
Server Software Component,T1505,3 sub-techniques,Persistence,"Linux, Windows, macOS","Application logs, File monitoring, Netflow/Enclave netflow, Process monitoring","Administrator, SYSTEM, root"
Traffic Signaling,T1205,1 sub-techniques,"DefenseEvasion,Persistence,CommandAndControl","Linux, Network, Windows, macOS","Netflow/Enclave netflow, Packet capture",User
Valid Accounts,T1078,4 sub-techniques,"DefenseEvasion,Persistence,PrivilegeEscalation,InitialAccess","AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","AWS CloudTrail logs, Authentication logs, Process monitoring, Stackdriver logs","Administrator, User"
Abuse Elevation Control Mechanism,T1548,4 sub-techniques,"PrivilegeEscalation,DefenseEvasion","Linux, Windows, macOS","API monitoring, File monitoring, Process command-line parameters, Process monitoring, Windows Registry","Administrator, User"
Access Token Manipulation,T1134,5 sub-techniques,"DefenseEvasion,PrivilegeEscalation",Windows,"API monitoring, Access tokens, Authentication logs, Process command-line parameters, Process monitoring, Windows event logs","Administrator, User"
Boot or Logon Autostart Execution,T1547,12 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS",[],"Administrator, User, root"
Boot or Logon Initialization Scripts,T1037,5 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process monitoring",[]
Create or Modify System Process,T1543,4 sub-techniques,"Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows Registry, Windows event logs",[]
Event Triggered Execution,T1546,15 sub-techniques,"PrivilegeEscalation,Persistence","Linux, Windows, macOS","API monitoring, Binary file metadata, DLL monitoring, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring, Process use of network, System calls, WMI Objects, Windows Registry, Windows event logs",[]
Exploitation for Privilege Escalation,T1068,No sub-techniques,PrivilegeEscalation,"Linux, Windows, macOS","Application logs, Process monitoring, Windows Error Reporting",User
Group Policy Modification,T1484,No sub-techniques,"DefenseEvasion,PrivilegeEscalation",Windows,Windows event logs,"Administrator, User"
Hijack Execution Flow,T1574,11 sub-techniques,"Persistence,PrivilegeEscalation,DefenseEvasion","Linux, Windows, macOS","DLL monitoring, Environment variable, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring",[]
Process Injection,T1055,11 sub-techniques,"DefenseEvasion,PrivilegeEscalation","Linux, Windows, macOS","API monitoring, DLL monitoring, File monitoring, Named Pipes, Process monitoring",[]
Scheduled Task/Job,T1053,6 sub-techniques,"Execution,Persistence,PrivilegeEscalation","Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User"
Valid Accounts,T1078,4 sub-techniques,"DefenseEvasion,Persistence,PrivilegeEscalation,InitialAccess","AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","AWS CloudTrail logs, Authentication logs, Process monitoring, Stackdriver logs","Administrator, User"
Abuse Elevation Control Mechanism,T1548,4 sub-techniques,"PrivilegeEscalation,DefenseEvasion","Linux, Windows, macOS","API monitoring, File monitoring, Process command-line parameters, Process monitoring, Windows Registry","Administrator, User"
Access Token Manipulation,T1134,5 sub-techniques,"DefenseEvasion,PrivilegeEscalation",Windows,"API monitoring, Access tokens, Authentication logs, Process command-line parameters, Process monitoring, Windows event logs","Administrator, User"
BITS Jobs,T1197,No sub-techniques,"DefenseEvasion,Persistence",Windows,"Packet capture, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User"
Deobfuscate/Decode Files or Information,T1140,No sub-techniques,DefenseEvasion,"Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring",User
Direct Volume Access,T1006,No sub-techniques,DefenseEvasion,Windows,API monitoring,Administrator
Execution Guardrails,T1480,1 sub-techniques,DefenseEvasion,"Linux, Windows, macOS",Process monitoring,User
Exploitation for Defense Evasion,T1211,No sub-techniques,DefenseEvasion,"Linux, Windows, macOS","File monitoring, Process monitoring, Windows Error Reporting",User
File and Directory Permissions Modification,T1222,2 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User, root"
Group Policy Modification,T1484,No sub-techniques,"DefenseEvasion,PrivilegeEscalation",Windows,Windows event logs,"Administrator, User"
Hide Artifacts,T1564,7 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","API monitoring, Authentication logs, File monitoring, PowerShell logs, Process command-line parameters, Process monitoring",[]
Hijack Execution Flow,T1574,11 sub-techniques,"Persistence,PrivilegeEscalation,DefenseEvasion","Linux, Windows, macOS","DLL monitoring, Environment variable, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring",[]
Impair Defenses,T1562,7 sub-techniques,DefenseEvasion,"AWS, Azure, GCP, Linux, Windows, macOS","API monitoring, AWS CloudTrail logs, Anti-virus, Authentication logs, Azure activity logs, Environment variable, File monitoring, GCP audit logs, Process command-line parameters, Process monitoring, Services, Windows Registry","Administrator, User"
Indicator Removal on Host,T1070,6 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","API monitoring, File monitoring, Process command-line parameters, Process monitoring, Windows event logs",[]
Indirect Command Execution,T1202,No sub-techniques,DefenseEvasion,Windows,"File monitoring, Process command-line parameters, Process monitoring, Windows event logs",User
Masquerading,T1036,6 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","Binary file metadata, File monitoring, Process command-line parameters, Process monitoring",[]
Modify Authentication Process,T1556,4 sub-techniques,"CredentialAccess,DefenseEvasion","Linux, Network, Windows, macOS","API monitoring, Authentication logs, DLL monitoring, File monitoring, Process monitoring, Windows Registry",[]
Modify Cloud Compute Infrastructure,T1578,4 sub-techniques,DefenseEvasion,"AWS, Azure, GCP","AWS CloudTrail logs, Azure activity logs, GCP audit logs, Stackdriver logs",User
Modify Registry,T1112,No sub-techniques,DefenseEvasion,Windows,"File monitoring, Process command-line parameters, Process monitoring, Windows Registry, Windows event logs","Administrator, SYSTEM, User"
Modify System Image,T1601,2 sub-techniques,DefenseEvasion,Network,"File monitoring, Network device configuration, Network device run-time memory",Administrator
Network Boundary Bridging,T1599,1 sub-techniques,DefenseEvasion,Network,"Netflow/Enclave netflow, Packet capture",Administrator
Obfuscated Files or Information,T1027,5 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","Binary file metadata, Email gateway, Environment variable, File monitoring, Malware reverse engineering, Network intrusion detection system, Network protocol analysis, Process command-line parameters, Process monitoring, Process use of network, SSL/TLS inspection, Windows event logs",[]
Pre-OS Boot,T1542,5 sub-techniques,"DefenseEvasion,Persistence","Linux, Network, Windows","API monitoring, BIOS, Component firmware, Disk forensics, EFI, MBR, Process monitoring, VBR","Administrator, SYSTEM"
Process Injection,T1055,11 sub-techniques,"DefenseEvasion,PrivilegeEscalation","Linux, Windows, macOS","API monitoring, DLL monitoring, File monitoring, Named Pipes, Process monitoring",[]
Rogue Domain Controller,T1207,No sub-techniques,DefenseEvasion,Windows,"API monitoring, Authentication logs, Network protocol analysis, Packet capture",Administrator
Rootkit,T1014,No sub-techniques,DefenseEvasion,"Linux, Windows, macOS","BIOS, MBR, System calls","Administrator, SYSTEM, root"
Signed Binary Proxy Execution,T1218,11 sub-techniques,DefenseEvasion,Windows,"API monitoring, Binary file metadata, DLL monitoring, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring, Process use of network, Windows Registry","Administrator, User"
Signed Script Proxy Execution,T1216,1 sub-techniques,DefenseEvasion,Windows,"Process command-line parameters, Process monitoring",User
Subvert Trust Controls,T1553,4 sub-techniques,DefenseEvasion,"Linux, Windows, macOS","API monitoring, Application logs, Binary file metadata, DLL monitoring, File monitoring, Loaded DLLs, Process command-line parameters, Process monitoring, Windows Registry, Windows event logs",[]
Template Injection,T1221,No sub-techniques,DefenseEvasion,Windows,"Anti-virus, Email gateway, Network intrusion detection system, Web logs",User
Traffic Signaling,T1205,1 sub-techniques,"DefenseEvasion,Persistence,CommandAndControl","Linux, Network, Windows, macOS","Netflow/Enclave netflow, Packet capture",User
Trusted Developer Utilities Proxy Execution,T1127,1 sub-techniques,DefenseEvasion,Windows,"File monitoring, Process monitoring",User
Unused/Unsupported Cloud Regions,T1535,No sub-techniques,DefenseEvasion,"AWS, Azure, GCP","AWS CloudTrail logs, Azure activity logs, Stackdriver logs",User
Use Alternate Authentication Material,T1550,4 sub-techniques,"DefenseEvasion,LateralMovement","Office 365, SaaS, Windows","Authentication logs, OAuth audit logs, Office 365 audit logs",[]
Valid Accounts,T1078,4 sub-techniques,"DefenseEvasion,Persistence,PrivilegeEscalation,InitialAccess","AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","AWS CloudTrail logs, Authentication logs, Process monitoring, Stackdriver logs","Administrator, User"
Virtualization/Sandbox Evasion,T1497,3 sub-techniques,"DefenseEvasion,Discovery","Linux, Windows, macOS","Process command-line parameters, Process monitoring",[]
Weaken Encryption,T1600,2 sub-techniques,DefenseEvasion,Network,File monitoring,Administrator
XSL Script Processing,T1220,No sub-techniques,DefenseEvasion,Windows,"DLL monitoring, Process command-line parameters, Process monitoring, Process use of network",User
Brute Force,T1110,4 sub-techniques,CredentialAccess,"AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","Authentication logs, Office 365 account logs",User
Credentials from Password Stores,T1555,3 sub-techniques,CredentialAccess,"Linux, Windows, macOS","API monitoring, File monitoring, PowerShell logs, Process monitoring, System calls",Administrator
Exploitation for Credential Access,T1212,No sub-techniques,CredentialAccess,"Linux, Windows, macOS","Authentication logs, Process monitoring, Windows Error Reporting",User
Forced Authentication,T1187,No sub-techniques,CredentialAccess,Windows,"File monitoring, Network device logs, Network protocol analysis, Process use of network",User
Input Capture,T1056,4 sub-techniques,"Collection,CredentialAccess","Linux, Network, Windows, macOS","API monitoring, Binary file metadata, DLL monitoring, Kernel drivers, Loaded DLLs, PowerShell logs, Process command-line parameters, Process monitoring, User interface, Windows Registry, Windows event logs","Administrator, SYSTEM, User, root"
Man-in-the-Middle,T1557,2 sub-techniques,"CredentialAccess,Collection","Linux, Windows, macOS","File monitoring, Netflow/Enclave netflow, Packet capture",User
